label,count,avg_score,std_score
Agricultural Equipment Services,726,0.7941955922865014,0.10716970895955767
Food Processing Services,636,0.7979795597484276,0.11488880440153316
Accessory Manufacturing,485,0.7574680412371134,0.06859840543768737
Sheet Metal Services,420,0.8244190476190477,0.11104414662774495
Travel Services,396,0.825540404040404,0.10679470846341454
Plastic Manufacturing,395,0.8003189873417721,0.11411479890409114
Furniture Manufacturing,388,0.8252242268041238,0.13505651503693775
Confectionery Manufacturing,379,0.7631240105540896,0.10554205224619481
Textile Manufacturing Services,368,0.7695135869565218,0.10715823859260822
Commercial Electrical Services,358,0.8042821229050279,0.09660109587542053
Cosmetic Manufacturing,354,0.7567316384180792,0.08632469677789337
Financial Services,333,0.8585885885885887,0.13345384830878276
Commercial Construction Services,326,0.8177300613496932,0.09863465213213353
Chemical Manufacturing,320,0.7867312500000001,0.11774725718773711
Fire Safety Equipment Services,289,0.7956124567474049,0.10137989944243053
Gas Manufacturing Services,282,0.8041879432624114,0.09974021485388915
Pet Food Manufacturing,270,0.8098777777777777,0.10850527143014238
Food Safety Services,269,0.8022936802973978,0.08619424001724907
Wood Product Manufacturing,264,0.8039507575757575,0.12805289959419477
Consulting Services,264,0.815469696969697,0.11668086789936097
Apparel Manufacturing,264,0.7684810606060607,0.08671626529406952
Livestock Dealer Services,255,0.7909450980392156,0.12601876549693797
Plastic Signage Production,248,0.7561653225806452,0.08408589741945312
Road Maintenance Services,247,0.7862145748987854,0.08628732555211362
Industrial Machinery Installation,245,0.8144163265306121,0.09282889103636045
Real Estate Services,240,0.8282083333333332,0.13693093857354952
Medical Gas Installation Services,235,0.8181106382978723,0.11145140222214855
Industrial Plumbing Services,234,0.7837008547008547,0.0881708510179154
Animal Feed Manufacturing,228,0.777061403508772,0.11091118684417943
Seafood Processing Services,226,0.7787522123893805,0.11752454351503312
Health Promotion Services,225,0.7800711111111112,0.09392913510000461
Occupational Health Services,222,0.7745585585585586,0.09205656186567164
Children's Clothing Manufacturing,219,0.8082602739726027,0.11902528766055089
Media Production Services,218,0.8158119266055045,0.10790696814456084
Property Management Services,212,0.792877358490566,0.1152679304414286
Training Services,209,0.8098803827751196,0.11522494741827867
Residential Electrical Services,209,0.798377990430622,0.09318202664770167
Sports Management Services,209,0.8409282296650716,0.12295711266544901
Bakery Production Services,208,0.7473942307692307,0.11771926141298197
Marketing Services,204,0.7997941176470589,0.1062504558771136
Waste Management Services,201,0.8394626865671642,0.12121827358425077
Non-Alcoholic Beverage Manufacturing,201,0.7823980099502488,0.136173128024658
Health and Safety Consulting,198,0.7399343434343433,0.09918889701825861
Non-Profit Management,196,0.8092551020408162,0.12235503709304663
Carpet Manufacturing Services,195,0.7721333333333333,0.11455077056834095
Insurance Services,195,0.8589538461538461,0.13620376988544455
Commercial Communication Equipment Installation,194,0.767360824742268,0.08105779752897878
E-Commerce Services,192,0.7741979166666666,0.0903986655824769
Online Marketing Services,189,0.7741904761904762,0.11897172788723447
Stationery Manufacturing,188,0.761468085106383,0.0887144915336738
Arts Services,186,0.7780913978494625,0.10667509261801689
Paper Production Services,184,0.8125706521739129,0.12689367955085415
Business Development Services,183,0.7912950819672131,0.10148593973891677
Oil and Fat Manufacturing,182,0.8351868131868131,0.1122561605035714
Catering Services,180,0.809638888888889,0.12364554511010163
Compliance Services,176,0.7520795454545454,0.0863887851968773
Boiler Repair Services,176,0.8163409090909091,0.0931308617086592
Ornamental Plant Nurseries,176,0.7700340909090909,0.10117356502436918
Testing and Inspection Services,175,0.81312,0.12214398136587838
Interior Design Services,175,0.8116057142857142,0.11290123326565749
Sand and Gravel Mining,173,0.8578554913294797,0.10887387057282014
Masonry Construction Services,173,0.8303583815028902,0.09021156594319475
Cabinetry Manufacturing,172,0.7048372093023256,0.0844793286546729
Event Planning Services,172,0.8100232558139535,0.139209840072329
Coffee Processing Services,172,0.8180523255813953,0.12688758502834752
Fishing and Hunting Services,171,0.7947017543859649,0.13678806684867706
Community Engagement Services,168,0.807529761904762,0.10228736821206885
Asphalt Production Services,161,0.7737763975155278,0.11245204395403845
Pharmaceutical Manufacturing,160,0.7976625,0.12398234239767812
Rubber Manufacturing,160,0.8044437500000001,0.11721048887719131
Water Treatment Services,158,0.8078037974683544,0.12014388713563678
Legal Services,154,0.8674870129870131,0.11887870662594986
Dairy Production Services,152,0.807875,0.11724267652470023
Window and Door Manufacturing,150,0.8210799999999999,0.09816043025126822
Meat Processing Services,150,0.8189666666666666,0.14722746026447786
Printing Services,150,0.8379866666666668,0.12110037916725076
Graphic Design Services,150,0.79942,0.11504695685622976
Commercial Renovation Services,148,0.7629054054054054,0.11771378512594889
Laboratory Services,147,0.7879727891156463,0.12739362715928018
General Handyman Services,140,0.7368785714285715,0.09567176108156525
Recycling Services,137,0.8333649635036495,0.10570309945316651
Well Maintenance Services,136,0.7599117647058824,0.08845207705102533
Technology Consulting,136,0.7887279411764706,0.09411486023583804
Building Cleaning Services,135,0.8566074074074075,0.10540080547826525
Frozen Food Processing,126,0.8173968253968255,0.11033317393169323
Bedding Manufacturing,124,0.753209677419355,0.12589912558983615
